model,scenario,region,variable,unit,period,value
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2035,5130
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2035,5865
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2035,8100
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity,GW,2040,12658
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity,GW,2040,13109
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity,GW,2040,15478
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Biomass,GW,2040,247
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Biomass,GW,2040,286
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Biomass,GW,2040,425
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Coal,GW,2040,2630
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Coal,GW,2040,2171
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Coal,GW,2040,1153
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|CSP,GW,2040,32
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|CSP,GW,2040,61
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|CSP,GW,2040,254
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Gas,GW,2040,2908
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Gas,GW,2040,2651
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Gas,GW,2040,2304
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2040,38
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2040,46
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Geothermal,GW,2040,82
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Hydro,GW,2040,1758
