# Kyoto gases by sector
ghg,ghg_sector,sector,subsector,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
CH4,,urban processes,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Other,,,,,,,,,,,1
CH4,AWB,Vegetables,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agricultural Waste Burning,,,,,,,,,1
CH4,,waste biomass for paper,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,AWB,Wheat,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agricultural Waste Burning,,,,,,,,,1
CO2,,agricultural energy use,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|AFOFI,,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial and AFOFI,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,airCO2,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Other Capture and Removal,,,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,alumina,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,ammonia,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,backup_electricity,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Supply,Emissions|Kyoto Gases|Energy|Supply|Electricity,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,cement,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Industrial Processes,,,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,chemical energy use,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,chemical feedstocks,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Product Use,Emissions|Kyoto Gases|Product Use|Non-Energy Use,,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,CO2 removal,,NoReported,,,,,,,,,,,,1
CO2,,comm cooling,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial,Emissions|Kyoto Gases|Energy|Demand|Commercial,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial and AFOFI,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,comm heating,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial,Emissions|Kyoto Gases|Energy|Demand|Commercial,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial and AFOFI,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,comm others,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial,Emissions|Kyoto Gases|Energy|Demand|Commercial,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial and AFOFI,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,construction energy use,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,construction feedstocks,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Product Use,Emissions|Kyoto Gases|Product Use|Non-Energy Use,,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,crude oil,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Supply,Emissions|Kyoto Gases|Energy|Supply|Liquids,Emissions|Kyoto Gases|Energy|Supply|Liquids|Oil,Emissions|Kyoto Gases|Energy|Supply|Liquids|Fossil,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,industry,crude oil,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Supply,Emissions|Kyoto Gases|Energy|Supply|Liquids,Emissions|Kyoto Gases|Energy|Supply|Liquids|Oil,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,csp_backup,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Supply,Emissions|Kyoto Gases|Energy|Supply|Electricity,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CO2,,delivered biomass,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Supply,Emissions|Kyoto Gases|Energy|Supply|Solids,Emissions|Kyoto Gases|Energy|Supply|Solids|Biomass,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
